         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3         0         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3         0  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3  -1.20e-3
   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3
   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3
         0   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3   9.43e-3         0
         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
         
